filename,treatment,treatment2,treatment3,spoken_comment,written_comment,opened,clicked,unsub,gender,english,age,yearbuilt,units,lowrise,mid_highrise,dem,rep,npp,vote_2020_general,vote_2017_municipal,vote_2016_general
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,28,1923,8,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,34,1969,55,1,0,0,1,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,31,1963,11,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,45,1987,63,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,69,1986,20,1,0,0,0,1,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,25,2015,129,0,1,0,1,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0.55113796,0.977381287,37.81188536,1959.11783,24.49654686,0.975410988,0.022621891,0.587946052,0.091317786,0.243748244,0.739393088,0.057881427,0.372998033
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,26,1964,51,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,66,1963,8,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,63,1969,14,1,0,0,0,1,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,62,1930,14,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,30,1946,6,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,52,1963,5,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,69,1919,42,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,27,1963,32,1,0,0,0,1,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,48,1930,6,1,0,0,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,23,1959,10,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,29,1953,18,1,0,1,0,0,1,1,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,24,1964,30,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,39,1948,8,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,24,1922,6,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,27,1916,8,1,0,0,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,50,1962,14,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,32,1965,51,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,39,1963,30,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,58,1948,8,1,0,1,0,0,1,1,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,29,1964,10,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,0,69,1962,8,1,0,0,0,1,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,71,1959.11783,24.49654686,1,0,0,1,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,22,1964,18,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,68,1966,319,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,21,1986,102,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,50,1963,8,1,0,0,1,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,42,1961,27,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,27,1987,9,1,0,0,0,1,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0.55113796,0.977381287,37.81188536,1959.11783,24.49654686,0.975410988,0.022621891,0.587946052,0.091317786,0.243748244,0.739393088,0.057881427,0.372998033
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,0,49,1946,9,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,20,1948,6,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,32,1961,12,1,0,1,0,0,0,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,74,1963,14,1,0,0,1,0,1,1,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,28,1923,6,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0.55113796,0.977381287,37.81188536,1959.11783,24.49654686,0.975410988,0.022621891,0.587946052,0.091317786,0.243748244,0.739393088,0.057881427,0.372998033
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,71,1972,196,0,1,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,39,1949,6,1,0,0,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,27,1959,7,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,38,1965,32,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,22,1961,8,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,31,1973,93,1,0,0,0,1,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,26,1963,9,1,0,0,0,1,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,21,1960,6,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,41,1922,9,1,0,0,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,86,1963,28,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,0,1,22,1964,6,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,68,1988,139,1,0,1,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,33,1963,12,1,0,0,0,0,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,43,1963,10,1,0,0,1,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,30,1930,27,1,0,0,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,0,1,49,1947,6,1,0,1,0,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,74,1964,17,1,0,1,0,0,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,35,1957,8,1,0,0,1,0,1,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,33,1973,50,1,0,0,0,1,1,0,1
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,0,0,0,1,1,34,1973,93,1,0,0,0,1,0,0,0
longbeach_9.07_placebo,placebo,placebo,placebo,0,0,1,0,0,1,1,39,1959,7,1,0,0,0,1,1,0,1
